id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
880428638359542662,Rental unit in Colera · 2 bedrooms · 5 beds · 1 bath,409391411,Frederic,,Colera,42.4039365,3.1551724,Entire home/apt,130,2,2,2023-09-09,0.32,1,298,2,HUTG-059357
880879527294959660,Home in Palau-saverdera · ★5.0 · 5 bedrooms · 6 beds · 4 baths,467280965,Jerome,,Palau-saverdera,42.31263681344923,3.1411978842427826,Entire home/apt,315,3,4,2023-12-27,2.00,3,287,4,HUTG-070373
881130749676056898,Rental unit in Blanes · 2 bedrooms · 3 beds · 1 bath,25950346,Mariàngels,,Blanes,41.66512,2.78305,Entire home/apt,120,6,2,2023-08-14,0.37,1,141,2,HUTG-048827
880210212402283364,Home in Flaçà · 1 bedroom · 1 bed · 1 shared bath,187322322,Montse,,Flaçà,42.04669761703048,2.949749641120434,Private room,43,3,0,,,1,303,0,Exempt
883254737737055232,Villa in Rosamar · 4 bedrooms · 6 beds · 2.5 baths,121746199,Mar,,Santa Cristina d'Aro,41.7624,2.98052,Entire home/apt,200,7,0,,,1,329,0,HUTG-047054
887395601260789808,Rental unit in Lloret de Mar · ★4.33 · 2 bedrooms · 4 beds · 1 bath,9614198,Verónica,,Lloret de Mar,41.6989753,2.8317135,Entire home/apt,,2,3,2023-08-14,0.49,20,0,3,HUTG-042160
881159121472692921,Villa in L'Escala · 2 bedrooms · 2 beds · 1 bath,512059077,Andre,,L'Escala,42.10602,3.13595,Entire home/apt,88,7,1,2023-08-26,0.24,1,178,1,HUTG-035944
887402649803815170,Rental unit in Blanes · 1 bedroom · 2 beds · 1 bath,491268523,Jordi,,Blanes,41.6600128,2.7818518,Entire home/apt,300,5,0,,,3,158,0,HG-029770
887408032470028099,Villa in El Mas Isaac · 4 bedrooms · 6 beds · 4 baths,206359316,Daluma,,Palau-saverdera,42.31275,3.13748,Entire home/apt,,7,0,,,14,0,0,HUTG-182182
887413670529448451,Rental unit in L'Escala · ★3.67 · 2 bedrooms · 3 beds · 1.5 baths,497533696,Ideal,,L'Escala,42.11453,3.15305,Entire home/apt,74,1,3,2023-08-24,0.56,50,117,3,HUTG-044813
