id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
894254088835132523,Rental unit in Son Xoriguer · ★4.67 · 1 bedroom · 3 beds · 1 bath,218224534,Łukasz,,Ciutadella de Menorca,39.9280143,3.8428452,Entire home/apt,177,4,3,2023-08-15,0.46,1,225,3,
894644022681263269,Rental unit in Platges de Fornells · 2 bedrooms · 3 beds · 1 bath,140806424,Greg,,Es Mercadal,40.04429,4.11261,Entire home/apt,180,4,1,2023-09-01,0.25,1,209,1,
895779242022192457,Home in Cap d'Artrutx · ★5.0 · 2 bedrooms · 3 beds · 1 bath,515718101,Pep Andreu,,Ciutadella de Menorca,39.93002183136323,3.824851184611969,Entire home/apt,161,4,3,2023-08-27,0.52,2,38,3,
896203989068274432,Rental unit in Illes Balears · 1 bedroom · 2 beds · 1 bath,513872242,Luis,,Ciutadella de Menorca,40.00073,3.79766,Private room,69,1,1,2023-08-17,0.22,1,364,1,
896251060425853544,Home in Cala Morell · 3 bedrooms · 5 beds · 2 baths,228839763,Rosi,,Ciutadella de Menorca,40.05067,3.88137,Entire home/apt,260,6,1,2023-07-26,0.19,2,339,1,
896814950289577464,Home in Cap d'Artrutx · ★5.0 · 3 bedrooms · 2 baths,491089477,Rubén,,Ciutadella de Menorca,39.92697,3.82328,Entire home/apt,249,4,4,2023-09-29,0.83,1,322,4,
896929604425975012,Home in San Jaime Mediterráneo · 3 bedrooms · 5 beds · 3 baths,99262991,Bernat,,Alaior,39.9066616,4.0737177,Entire home/apt,309,5,0,,,3,264,0,Et585
896946381648881776,Home in Sant Lluís · 4 bedrooms · 6 beds · 3 baths,515494639,Nicholas,,Sant Lluís,39.818775181076134,4.24997072023773,Entire home/apt,437,6,0,,,1,173,0,ET1482ME
896999520645985337,Rental unit in Port d'Addaia · 2 bedrooms · 4 beds · 1 bath,454312501,Sergio,,Es Mercadal,40.00632,4.19371,Entire home/apt,250,3,0,,,1,365,0,
897028823702891162,Villa in Port d'Addaia · 4 bedrooms · 7 beds · 3 baths,13024728,Menorca Habitat,,Es Mercadal,40.00992,4.19654,Entire home/apt,166,1,1,2023-08-17,0.22,25,214,1,VTV024ME
897604983121499148,Rental unit in Port d'Addaia · ★5.0 · 2 bedrooms · 4 beds · 1 bath,516130431,Housing,,Es Mercadal,40.0060423,4.1927865,Entire home/apt,110,2,4,2023-10-08,0.82,1,179,4,
897693476716606920,Home in Cala Blanca · ★4.40 · 2 bedrooms · 4 beds · 1 bath,516150513,Francisco,,Ciutadella de Menorca,39.96784,3.83541,Entire home/apt,200,3,5,2023-08-11,0.94,1,207,5,
897742655243549209,Rental unit in ALAIOR  · ★4.67 · 2 bedrooms · 4 beds · 1 bath,482619498,IHome Rent,,Alaior,39.89772150336469,4.077090093115219,Entire home/apt,95,2,6,2023-08-25,0.97,8,183,6,121/1984
898557377490041691,Rental unit in Port d'Addaia · 3 bedrooms · 5 beds · 1.5 baths,64324086,Javier,,Es Mercadal,40.01109,4.1965,Entire home/apt,220,6,1,2023-08-23,0.23,10,365,1,471/1989
898952576139258134,Camper/RV in Illes Balears · ★5.0 · 1 bedroom · 1 bed · Half-bath,157345811,Diego,,Mahón,39.86979,4.22662,Entire home/apt,120,1,6,2023-10-01,1.22,1,365,6,
899028984689121101,Villa in Binibèquer · 3 bedrooms · 5 beds · 3 baths,104743760,Julio,,Sant Lluís,39.8215,4.23728,Entire home/apt,600,1,0,,,18,35,0,
899038374579329401,Rental unit in Port d'Addaia · 3 bedrooms · 4 beds · 1.5 baths,64324086,Javier,,Es Mercadal,40.00893,4.19725,Entire home/apt,220,6,2,2023-08-17,0.41,10,364,2,471/1989
899320816732874176,Condo in Cap d'Artrutx · ★5.0 · 1 bedroom · 2 beds · 1 bath,515238177,Ester,,Ciutadella de Menorca,39.9292298,3.8241513,Entire home/apt,90,4,15,2023-10-20,2.31,1,328,15,APM 1575
